Reference:,,,,,,https://docs.okd.io/latest/rest_api/apis-apps/v1.Deployment.html

Field,,,,,,,,,,,Use,Reserve,Reserve,Type,Description
,,,,retryAfterSeconds,,,,,,,,,,integer, If specified�C the time in seconds before the operation should be retried. Some errors may indicate the client must take an alternate action - for those errors this field may indicate how long to wait before taking the alternate action.
,,,,uid,,,,,,,,,,string, UID of the resource. (when there is a single resource which can be described). More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,,,kind,,,,,,,,,,,string, Kind is a string value representing the REST resource this object represents. Servers may infer this from the endpoint the client submits requests to. Cannot be updated. In CamelCase. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,message,,,,,,,,,,,string, A human-readable description of the status of this operation.
,,,metadata,,,,,,,,,,,v1.ListMeta, Standard list metadata. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,,continue,,,,,,,,,,string, continue may be set if the user set a limit on the number of items returned�C and indicates that the server has more data available. The value is opaque and may be used to issue another request to the endpoint that served this list to retrieve the next set of available objects. Continuing a list may not be possible if the server configuration has changed or more than a few minutes have passed. The resourceVersion field returned when using this continue value will be identical to the value in the first response.
,,,,resourceVersion,,,,,,,,,,string, String that identifies the server&apos;s internal version of this object that can be used by clients to determine when objects have changed. Value must be treated as opaque by clients and passed unmodified back to the server. Populated by the system. Read-only. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,,,,selfLink,,,,,,,,,,string, selfLink is a URL representing this object. Populated by the system. Read-only.
,,,reason,,,,,,,,,,,string, A machine-readable description of why this operation is in the &quot;Failure&quot; status. If this value is empty there is no information available. A Reason clarifies an HTTP status code but does not override it.
,,,status,,,,,,,,,,,string, Status of the operation. One of: &quot;Success&quot; or &quot;Failure&quot;. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#spec-and-status
,labels,,,,,,,,,,,,,object, Map of string keys and values that can be used to organize and categorize (scope and select) objects. May match selectors of replication controllers and services. More info: http://kubernetes.io/docs/user-guide/labels
,,[string],,,,,,,,,,,,string, 
,name,,,,,,,,,,,,,string, Name must be unique within a namespace. Is required when creating resources�C although some resources may allow a client to request the generation of an appropriate name automatically. Name is primarily intended for creation idempotence and configuration definition. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,namespace,,,,,,,,,,,,,string, Namespace defines the space within each name must be unique. An empty namespace is equivalent to the &quot;default&quot; namespace�C but &quot;default&quot; is the canonical representation. Not all objects are required to be scoped to a namespace - the value of this field for those objects will be empty.Must be a DNS_LABEL. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/namespaces
,ownerReferences,,,,,,,,,,,,,array, List of objects depended by this object. If ALL objects in the list have been deleted�C this object will be garbage collected. If this object is managed by a controller�C then an entry in this list will point to this controller�C with the controller field set to true. There cannot be more than one managing controller.
,,apiVersion,,,,,,,,,,,,string, API version of the referent.
,,blockOwnerDeletion,,,,,,,,,,,,boolean, If true�C AND if the owner has the &quot;foregroundDeletion&quot; finalizer�C then the owner cannot be deleted from the key-value store until this reference is removed. Defaults to false. To set this field�C a user needs &quot;delete&quot; permission of the owner�C otherwise 422 (Unprocessable Entity) will be returned.
,,controller,,,,,,,,,,,,boolean, If true�C this reference points to the managing controller.
,,kind,,,,,,,,,,,,string, Kind of the referent. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,name,,,,,,,,,,,,string, Name of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,,uid,,,,,,,,,,,,string, UID of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,resourceVersion,,,,,,,,,,,,,string, An opaque value that represents the internal version of this object that can be used by clients to determine when objects have changed. May be used for optimistic concurrency�C change detection�C and the watch operation on a resource or set of resources. Clients must treat these values as opaque and passed unmodified back to the server. They may only be valid for a particular resource or set of resources.Populated by the system. Read-only. Value must be treated as opaque by clients and . More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,selfLink,,,,,,,,,,,,,string, SelfLink is a URL representing this object. Populated by the system. Read-only.
,uid,,,,,,,,,,,,,string, UID is the unique in time and space value for this object. It is typically generated by the server on successful creation of a resource and is not allowed to change on PUT operations.Populated by the system. Read-only. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
spec,,,,,,,,,,,,,,v1.DeploymentSpec, Specification of the desired behavior of the Deployment.
,minReadySeconds,,,,,,,,,,,,,integer, Minimum number of seconds for which a newly created pod should be ready without any of its container crashing�C for it to be considered available. Defaults to 0 (pod will be considered available as soon as it is ready)
,paused,,,,,,,,,,,,,boolean, Indicates that the deployment is paused.
,progressDeadlineSeconds,,,,,,,,,,,,,integer, The maximum time in seconds for a deployment to make progress before it is considered to be failed. The deployment controller will continue to process failed deployments and a condition with a ProgressDeadlineExceeded reason will be surfaced in the deployment status. Note that progress will not be estimated during the time a deployment is paused. Defaults to 600s.
,replicas,,,,,,,,,,,,,integer, Number of desired pods. This is a pointer to distinguish between explicit zero and not specified. Defaults to 1.
,revisionHistoryLimit,,,,,,,,,,,,,integer, The number of old ReplicaSets to retain to allow rollback. This is a pointer to distinguish between explicit zero and not specified. Defaults to 10.
,selector,,,,,,,,,,,,,v1.LabelSelector, Label selector for pods. Existing ReplicaSets whose pods are selected by this will be the ones affected by this deployment. It must match the pod template&apos;s labels.
,,matchExpressions,,,,,,,,,,,,array, matchExpressions is a list of label selector requirements. The requirements are ANDed.
,,,key,,,,,,,,,,,string, key is the label key that the selector applies to.
,,,operator,,,,,,,,,,,string, operator represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists and DoesNotExist.
,,,values,,,,,,,,,,,array, values is an array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. This array is replaced during a strategic merge patch.
,,,,[string],,,,,,,,,,string, 
,,matchLabels,,,,,,,,,,,,object, matchLabels is a map of {key�Cvalue} pairs. A single {key�Cvalue} in the matchLabels map is equivalent to an element of matchExpressions�C whose key field is &quot;key&quot;�C the operator is &quot;In&quot;�C and the values array contains only &quot;value&quot;. The requirements are ANDed.
,,,[string],,,,,,,,,,,string, 
,strategy,,,,,,,,,,,,,v1.DeploymentStrategy, The deployment strategy to use to replace existing pods with new ones.
,,rollingUpdate,,,,,,,,,,,,v1.RollingUpdateDeployment, Rolling update config params. Present only if DeploymentStrategyType = RollingUpdate.
,,,maxSurge,,,,,,,,,,,intstr.IntOrString, The maximum number of pods that can be scheduled above the desired number of pods. Value can be an absolute number (ex: 5) or a percentage of desired pods (ex: 10%). This can not be 0 if MaxUnavailable is 0. Absolute number is calculated from percentage by rounding up. Defaults to 25%. Example: when this is set to 30%�C the new RC can be scaled up immediately when the rolling update starts�C such that the total number of old and new pods do not exceed 130% of desired pods. Once old pods have been killed�C new RC can be scaled up further�C ensuring that total number of pods running at any time during the update is at most 130% of desired pods.
,,,maxUnavailable,,,,,,,,,,,intstr.IntOrString, The maximum number of pods that can be unavailable during the update. Value can be an absolute number (ex: 5) or a percentage of desired pods (ex: 10%). Absolute number is calculated from percentage by rounding down. This can not be 0 if MaxSurge is 0. Defaults to 25%. Example: when this is set to 30%�C the old RC can be scaled down to 70% of desired pods immediately when the rolling update starts. Once new pods are ready�C old RC can be scaled down further�C followed by scaling up the new RC�C ensuring that the total number of pods available at all times during the update is at least 70% of desired pods.
,,type,,,,,,,,,,,,string, Type of deployment. Can be &quot;Recreate&quot; or &quot;RollingUpdate&quot;. Default is RollingUpdate.
,template,,,,,,,,,,,,,v1.PodTemplateSpec, Template describes the pods that will be created.
,,metadata,,,,,,,,,,,,v1.ObjectMeta, Standard object&apos;s metadata. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#metadata
,,,annotations,,,,,,,,,,,object, Annotations is an unstructured key value map stored with a resource that may be set by external tools to store and retrieve arbitrary metadata. They are not queryable and should be preserved when modifying objects. More info: http://kubernetes.io/docs/user-guide/annotations
,,,,[string],,,,,,,,,,string, 
,,,clusterName,,,,,,,,,,,string, The name of the cluster which the object belongs to. This is used to distinguish resources with same name and namespace in different clusters. This field is not set anywhere right now and apiserver is going to ignore it if set in create or update request.
,,,creationTimestamp,,,,,,,,,,,v1.Time, CreationTimestamp is a timestamp representing the server time when this object was created. It is not guaranteed to be set in happens-before order across separate operations. Clients may not set this value. It is represented in RFC3339 form and is in UTC.Populated by the system. Read-only. Null for lists. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#metadata
,,,deletionGracePeriodSeconds,,,,,,,,,,,integer, Number of seconds allowed for this object to gracefully terminate before it will be removed from the system. Only set when deletionTimestamp is also set. May only be shortened. Read-only.
,,,deletionTimestamp,,,,,,,,,,,v1.Time, DeletionTimestamp is RFC 3339 date and time at which this resource will be deleted. This field is set by the server when a graceful deletion is requested by the user�C and is not directly settable by a client. The resource is expected to be deleted (no longer visible from resource lists�C and not reachable by name) after the time in this field�C once the finalizers list is empty. As long as the finalizers list contains items�C deletion is blocked. Once the deletionTimestamp is set�C this value may not be unset or be set further into the future�C although it may be shortened or the resource may be deleted prior to this time. For example�C a user may request that a pod is deleted in 30 seconds. The Kubelet will react by sending a graceful termination signal to the containers in the pod. After that 30 seconds�C the Kubelet will send a hard termination signal (SIGKILL) to the container and after cleanup�C remove the pod from the API. In the presence of network partitions�C this object may still exist after this timestamp�C until an administrator or automated process can determine the resource is fully terminated. If not set�C graceful deletion of the object has not been requested.Populated by the system when a graceful deletion is requested. Read-only. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#metadata
,,,finalizers,,,,,,,,,,,array, Must be empty before the object is deleted from the registry. Each entry is an identifier for the responsible component that will remove the entry from the list. If the deletionTimestamp of the object is non-nil�C entries in this list can only be removed.
,,,,[string],,,,,,,,,,string, 
,,,generateName,,,,,,,,,,,string, GenerateName is an optional prefix�C used by the server�C to generate a unique name ONLY IF the Name field has not been provided. If this field is used�C the name returned to the client will be different than the name passed. This value will also be combined with a unique suffix. The provided value has the same validation rules as the Name field�C and may be truncated by the length of the suffix required to make the value unique on the server.If this field is specified and the generated name exists�C the server will NOT return a 409 - instead�C it will either return 201 Created or 500 with Reason ServerTimeout indicating a unique name could not be found in the time allotted�C and the client should retry (optionally after the time indicated in the Retry-After header).Applied only if Name is not specified. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#idempotency
,,,generation,,,,,,,,,,,integer, A sequence number representing a specific generation of the desired state. Populated by the system. Read-only.
,,,initializers,,,,,,,,,,,v1.Initializers, An initializer is a controller which enforces some system invariant at object creation time. This field is a list of initializers that have not yet acted on this object. If nil or empty�C this object has been completely initialized. Otherwise�C the object is considered uninitialized and is hidden (in list/watch and get calls) from clients that haven&apos;t explicitly asked to observe uninitialized objects.When an object is created�C the system will populate this list with the current set of initializers. Only privileged users may set or modify this list. Once it is empty�C it may not be modified further by any user.
,,,,pending,,,,,,,,,,array, Pending is a list of initializers that must execute in order before this object is visible. When the last pending initializer is removed�C and no failing result is set�C the initializers struct will be set to nil and the object is considered as initialized and visible to all clients.
,,,,,name,,,,,,,,,string, name of the process that is responsible for initializing this object.
,,,,result,,,,,,,,,,v1.Status, If result is set with the Failure field�C the object will be persisted to storage and then deleted�C ensuring that other clients can observe the deletion.
,,,,,apiVersion,,,,,,,,,string, APIVersion defines the versioned schema of this representation of an object. Servers should convert recognized schemas to the latest internal value�C and may reject unrecognized values. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#resources
,,,,,code,,,,,,,,,integer, Suggested HTTP return code for this status�C 0 if not set.
,,,,,details,,,,,,,,,v1.StatusDetails, Extended data associated with the reason.  Each reason may define its own extended details. This field is optional and the data returned is not guaranteed to conform to any schema except that defined by the reason type.
,,,,,,causes,,,,,,,,array, The Causes array includes more details associated with the StatusReason failure. Not all StatusReasons may provide detailed causes.
,,,,,,,field,,,,,,,string, The field of the resource that has caused this error�C as named by its JSON serialization. May include dot and postfix notation for nested attributes. Arrays are zero-indexed.  Fields may appear more than once in an array of causes due to fields having multiple errors. Optional.Examples:  &quot;name&quot; - the field &quot;name&quot; on the current resource  &quot;items[0].name&quot; - the field &quot;name&quot; on the first array entry in &quot;items&quot;
,,,,,,,message,,,,,,,string, A human-readable description of the cause of the error.  This field may be presented as-is to a reader.
,,,,,,,reason,,,,,,,string, A machine-readable description of the cause of the error. If this value is empty there is no information available.
,,,,,,group,,,,,,,,string, The group attribute of the resource associated with the status StatusReason.
,,,,,,kind,,,,,,,,string, The kind attribute of the resource associated with the status StatusReason. On some operations may differ from the requested resource Kind. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,,,,name,,,,,,,,string, The name attribute of the resource associated with the status StatusReason (when there is a single name which can be described).
,,,,,,retryAfterSeconds,,,,,,,,integer, If specified�C the time in seconds before the operation should be retried. Some errors may indicate the client must take an alternate action - for those errors this field may indicate how long to wait before taking the alternate action.
,,,,,,uid,,,,,,,,string, UID of the resource. (when there is a single resource which can be described). More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,,,,,kind,,,,,,,,,string, Kind is a string value representing the REST resource this object represents. Servers may infer this from the endpoint the client submits requests to. Cannot be updated. In CamelCase. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,,,message,,,,,,,,,string, A human-readable description of the status of this operation.
,,,,,metadata,,,,,,,,,v1.ListMeta, Standard list metadata. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,,,,continue,,,,,,,,string, continue may be set if the user set a limit on the number of items returned�C and indicates that the server has more data available. The value is opaque and may be used to issue another request to the endpoint that served this list to retrieve the next set of available objects. Continuing a list may not be possible if the server configuration has changed or more than a few minutes have passed. The resourceVersion field returned when using this continue value will be identical to the value in the first response.
,,,,,,resourceVersion,,,,,,,,string, String that identifies the server&apos;s internal version of this object that can be used by clients to determine when objects have changed. Value must be treated as opaque by clients and passed unmodified back to the server. Populated by the system. Read-only. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,,,,,,selfLink,,,,,,,,string, selfLink is a URL representing this object. Populated by the system. Read-only.
,,,,,reason,,,,,,,,,string, A machine-readable description of why this operation is in the &quot;Failure&quot; status. If this value is empty there is no information available. A Reason clarifies an HTTP status code but does not override it.
,,,,,status,,,,,,,,,string, Status of the operation. One of: &quot;Success&quot; or &quot;Failure&quot;. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#spec-and-status
,,,labels,,,,,,,,,,,object, Map of string keys and values that can be used to organize and categorize (scope and select) objects. May match selectors of replication controllers and services. More info: http://kubernetes.io/docs/user-guide/labels
,,,,[string],,,,,,,,,,string, 
,,,name,,,,,,,,,,,string, Name must be unique within a namespace. Is required when creating resources�C although some resources may allow a client to request the generation of an appropriate name automatically. Name is primarily intended for creation idempotence and configuration definition. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,,,namespace,,,,,,,,,,,string, Namespace defines the space within each name must be unique. An empty namespace is equivalent to the &quot;default&quot; namespace�C but &quot;default&quot; is the canonical representation. Not all objects are required to be scoped to a namespace - the value of this field for those objects will be empty.Must be a DNS_LABEL. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/namespaces
,,,ownerReferences,,,,,,,,,,,array, List of objects depended by this object. If ALL objects in the list have been deleted�C this object will be garbage collected. If this object is managed by a controller�C then an entry in this list will point to this controller�C with the controller field set to true. There cannot be more than one managing controller.
,,,,apiVersion,,,,,,,,,,string, API version of the referent.
,,,,blockOwnerDeletion,,,,,,,,,,boolean, If true�C AND if the owner has the &quot;foregroundDeletion&quot; finalizer�C then the owner cannot be deleted from the key-value store until this reference is removed. Defaults to false. To set this field�C a user needs &quot;delete&quot; permission of the owner�C otherwise 422 (Unprocessable Entity) will be returned.
,,,,controller,,,,,,,,,,boolean, If true�C this reference points to the managing controller.
,,,,kind,,,,,,,,,,string, Kind of the referent. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,,,name,,,,,,,,,,string, Name of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,,,,uid,,,,,,,,,,string, UID of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,,,resourceVersion,,,,,,,,,,,string, An opaque value that represents the internal version of this object that can be used by clients to determine when objects have changed. May be used for optimistic concurrency�C change detection�C and the watch operation on a resource or set of resources. Clients must treat these values as opaque and passed unmodified back to the server. They may only be valid for a particular resource or set of resources.Populated by the system. Read-only. Value must be treated as opaque by clients and . More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,,,selfLink,,,,,,,,,,,string, SelfLink is a URL representing this object. Populated by the system. Read-only.
,,,uid,,,,,,,,,,,string, UID is the unique in time and space value for this object. It is typically generated by the server on successful creation of a resource and is not allowed to change on PUT operations.Populated by the system. Read-only. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,,spec,,,,,,,,,,,,v1.PodSpec, Specification of the desired behavior of the pod. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#spec-and-status
,,,activeDeadlineSeconds,,,,,,,,,,,integer, Optional duration in seconds the pod may be active on the node relative to StartTime before the system will actively try to mark it failed and kill associated containers. Value must be a positive integer.
,,,affinity,,,,,,,,,,,v1.Affinity, If specified�C the pod&apos;s scheduling constraints
,,,,nodeAffinity,,,,,,,,,,v1.NodeAffinity, Describes node affinity scheduling rules for the pod.
,,,,,preferredDuringSchedulingIgnoredDuringExecution,,,,,,,,,array, The scheduler will prefer to schedule pods to nodes that satisfy the affinity expressions specified by this field�C but it may choose a node that violates one or more of the expressions. The node that is most preferred is the one with the greatest sum of weights�C i.e. for each node that meets all of the scheduling requirements (resource request�C requiredDuringScheduling affinity expressions�C etc.)�C compute a sum by iterating through the elements of this field and adding &quot;weight&quot; to the sum if the node matches the corresponding matchExpressions; the node(s) with the highest sum are the most preferred.
,,,,,,preference,,,,,,,,v1.NodeSelectorTerm, A node selector term�C associated with the corresponding weight.
,,,,,,,matchExpressions,,,,,,,array, Required. A list of node selector requirements. The requirements are ANDed.
,,,,,,,,key,,,,,,string, The label key that the selector applies to.
,,,,,,,,operator,,,,,,string, Represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists�C DoesNotExist. Gt�C and Lt.
,,,,,,,,values,,,,,,array, An array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. If the operator is Gt or Lt�C the values array must have a single element�C which will be interpreted as an integer. This array is replaced during a strategic merge patch.
,,,,,,,,,[string],,,,,string, 
,,,,,,weight,,,,,,,,integer, Weight associated with matching the corresponding nodeSelectorTerm�C in the range 1-100.
,,,,,requiredDuringSchedulingIgnoredDuringExecution,,,,,,,,,v1.NodeSelector, If the affinity requirements specified by this field are not met at scheduling time�C the pod will not be scheduled onto the node. If the affinity requirements specified by this field cease to be met at some point during pod execution (e.g. due to an update)�C the system may or may not try to eventually evict the pod from its node.
,,,,,,nodeSelectorTerms,,,,,,,,array, Required. A list of node selector terms. The terms are ORed.
,,,,,,,matchExpressions,,,,,,,array, Required. A list of node selector requirements. The requirements are ANDed.
,,,,,,,,key,,,,,,string, The label key that the selector applies to.
,,,,,,,,operator,,,,,,string, Represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists�C DoesNotExist. Gt�C and Lt.
,,,,,,,,values,,,,,,array, An array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. If the operator is Gt or Lt�C the values array must have a single element�C which will be interpreted as an integer. This array is replaced during a strategic merge patch.
,,,,,,,,,[string],,,,,string, 
,,,,podAffinity,,,,,,,,,,v1.PodAffinity, Describes pod affinity scheduling rules (e.g. co-locate this pod in the same node�C zone�C etc. as some other pod(s)).
,,,,,preferredDuringSchedulingIgnoredDuringExecution,,,,,,,,,array, The scheduler will prefer to schedule pods to nodes that satisfy the affinity expressions specified by this field�C but it may choose a node that violates one or more of the expressions. The node that is most preferred is the one with the greatest sum of weights�C i.e. for each node that meets all of the scheduling requirements (resource request�C requiredDuringScheduling affinity expressions�C etc.)�C compute a sum by iterating through the elements of this field and adding &quot;weight&quot; to the sum if the node has pods which matches the corresponding podAffinityTerm; the node(s) with the highest sum are the most preferred.
,,,,,,podAffinityTerm,,,,,,,,v1.PodAffinityTerm, Required. A pod affinity term�C associated with the corresponding weight.
,,,,,,,labelSelector,,,,,,,v1.LabelSelector, A label query over a set of resources�C in this case pods.
,,,,,,,,matchExpressions,,,,,,array, matchExpressions is a list of label selector requirements. The requirements are ANDed.
,,,,,,,,,key,,,,,string, key is the label key that the selector applies to.
,,,,,,,,,operator,,,,,string, operator represents a key&apos;s relationship to a set of values. Valid operators are In�C NotIn�C Exists and DoesNotExist.
,,,,,,,,,values,,,,,array, values is an array of string values. If the operator is In or NotIn�C the values array must be non-empty. If the operator is Exists or DoesNotExist�C the values array must be empty. This array is replaced during a strategic merge patch.
,,,,,,,,,,[string],,,,string, 
,,,,,,,,matchLabels,,,,,,object, matchLabels is a map of {key�Cvalue} pairs. A single {key�Cvalue} in the matchLabels map is equivalent to an element of matchExpressions�C whose key field is &quot;key&quot;�C the operator is &quot;In&quot;�C and the values array contains only &quot;value&quot;. The requirements are ANDed.
,,,,,,,,,[string],,,,,string, 
,,,,,,,namespaces,,,,,,,array, namespaces specifies which namespaces the labelSelector applies to (matches against); null or empty list means &quot;this pod&apos;s namespace&quot;
,,,,,,,,[string],,,,,,string, 
,,,,,,,topologyKey,,,,,,,string, This pod should be co-located (affinity) or not co-located (anti-affinity) with the pods matching the labelSelector in the specified namespaces�C where co-located is defined as running on a node whose value of the label with key topologyKey matches that of any node on which any of the selected pods is running. Empty topologyKey is not allowed.
,,,,,,weight,,,,,,,,integer, weight associated with matching the corresponding podAffinityTerm�C in the range 1-100.
