Reference:,,,,,,https://docs.okd.io/3.11/rest_api/apis-authorization.openshift.io/v1.RoleBinding.html

Field,,,,,,,,,,,Use,Reserve,Reserve,Type,Description
,,,,resourceVersion,,,,,,,,,,string, String that identifies the server&apos;s internal version of this object that can be used by clients to determine when objects have changed. Value must be treated as opaque by clients and passed unmodified back to the server. Populated by the system. Read-only. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,,,,selfLink,,,,,,,,,,string, SelfLink is a URL representing this object. Populated by the system. Read-only.
,,,reason,,,,,,,,,,,string, A machine-readable description of why this operation is in the &quot;Failure&quot; status. If this value is empty there is no information available. A Reason clarifies an HTTP status code but does not override it.
,,,status,,,,,,,,,,,string, Status of the operation. One of: &quot;Success&quot; or &quot;Failure&quot;. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#spec-and-status
,labels,,,,,,,,,,,,,object, Map of string keys and values that can be used to organize and categorize (scope and select) objects. May match selectors of replication controllers and services. More info: http://kubernetes.io/docs/user-guide/labels
,,[string],,,,,,,,,,,,string, 
,name,,,,,,,,,,,,,string, Name must be unique within a namespace. Is required when creating resources�C although some resources may allow a client to request the generation of an appropriate name automatically. Name is primarily intended for creation idempotence and configuration definition. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,namespace,,,,,,,,,,,,,string, Namespace defines the space within each name must be unique. An empty namespace is equivalent to the &quot;default&quot; namespace�C but &quot;default&quot; is the canonical representation. Not all objects are required to be scoped to a namespace - the value of this field for those objects will be empty.Must be a DNS_LABEL. Cannot be updated. More info: http://kubernetes.io/docs/user-guide/namespaces
,ownerReferences,,,,,,,,,,,,,array, List of objects depended by this object. If ALL objects in the list have been deleted�C this object will be garbage collected. If this object is managed by a controller�C then an entry in this list will point to this controller�C with the controller field set to true. There cannot be more than one managing controller.
,,apiVersion,,,,,,,,,,,,string, API version of the referent.
,,blockOwnerDeletion,,,,,,,,,,,,boolean, If true�C AND if the owner has the &quot;foregroundDeletion&quot; finalizer�C then the owner cannot be deleted from the key-value store until this reference is removed. Defaults to false. To set this field�C a user needs &quot;delete&quot; permission of the owner�C otherwise 422 (Unprocessable Entity) will be returned.
,,controller,,,,,,,,,,,,boolean, If true�C this reference points to the managing controller.
,,kind,,,,,,,,,,,,string, Kind of the referent. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,,name,,,,,,,,,,,,string, Name of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#names
,,uid,,,,,,,,,,,,string, UID of the referent. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
,resourceVersion,,,,,,,,,,,,,string, An opaque value that represents the internal version of this object that can be used by clients to determine when objects have changed. May be used for optimistic concurrency�C change detection�C and the watch operation on a resource or set of resources. Clients must treat these values as opaque and passed unmodified back to the server. They may only be valid for a particular resource or set of resources.Populated by the system. Read-only. Value must be treated as opaque by clients and . More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,selfLink,,,,,,,,,,,,,string, SelfLink is a URL representing this object. Populated by the system. Read-only.
,uid,,,,,,,,,,,,,string, UID is the unique in time and space value for this object. It is typically generated by the server on successful creation of a resource and is not allowed to change on PUT operations.Populated by the system. Read-only. More info: http://kubernetes.io/docs/user-guide/identifiers#uids
roleRef,,,,,,,,,,,,,,v1.ObjectReference, RoleRef can only reference the current namespace and the global namespace. If the RoleRef cannot be resolved�C the Authorizer must return an error. Since Policy is a singleton�C this is sufficient knowledge to locate a role.
,apiVersion,,,,,,,,,,,,,string, API version of the referent.
,fieldPath,,,,,,,,,,,,,string, If referring to a piece of an object instead of an entire object�C this string should contain a valid JSON/Go field access statement�C such as desiredState.manifest.containers[2]. For example�C if the object reference is to a container within a pod�C this would take on a value like: &quot;spec.containers{name}&quot; (where &quot;name&quot; refers to the name of the container that triggered the event) or if no container name is specified &quot;spec.containers[2]&quot; (container with index 2 in this pod). This syntax is chosen only to have some well-defined way of referencing a part of an object.
,kind,,,,,,,,,,,,,string, Kind of the referent. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,name,,,,,,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,namespace,,,,,,,,,,,,,string, Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
,resourceVersion,,,,,,,,,,,,,string, Specific resourceVersion to which this reference is made�C if any. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,uid,,,,,,,,,,,,,string, UID of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#uids
subjects,,,,,,,,,,,,,,array, Subjects hold object references to authorize with this rule. This field is ignored if UserNames or GroupNames are specified to support legacy clients and servers. Thus newer clients that do not need to support backwards compatibility should send only fully qualified Subjects and should omit the UserNames and GroupNames fields. Clients that need to support backwards compatibility can use this field to build the UserNames and GroupNames.
,apiVersion,,,,,,,,,,,,,string, API version of the referent.
,fieldPath,,,,,,,,,,,,,string, If referring to a piece of an object instead of an entire object�C this string should contain a valid JSON/Go field access statement�C such as desiredState.manifest.containers[2]. For example�C if the object reference is to a container within a pod�C this would take on a value like: &quot;spec.containers{name}&quot; (where &quot;name&quot; refers to the name of the container that triggered the event) or if no container name is specified &quot;spec.containers[2]&quot; (container with index 2 in this pod). This syntax is chosen only to have some well-defined way of referencing a part of an object.
,kind,,,,,,,,,,,,,string, Kind of the referent. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#types-kinds
,name,,,,,,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,namespace,,,,,,,,,,,,,string, Namespace of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/namespaces/
,resourceVersion,,,,,,,,,,,,,string, Specific resourceVersion to which this reference is made�C if any. More info: https://git.k8s.io/community/contributors/devel/api-conventions.md#concurrency-control-and-consistency
,uid,,,,,,,,,,,,,string, UID of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#uids
userNames,,,,,,,,,,,,,,array, UserNames holds all the usernames directly bound to the role. This field should only be specified when supporting legacy clients and servers. See Subjects for further details.
,[string],,,,,,,,,,,,,string, 
